PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	PG.ProteinNames	[1] ZHW_20260422_D1.raw.PG.Quantity	[2] ZHW_20260422_D2.raw.PG.Quantity	[3] ZHW_20260422_D3.raw.PG.Quantity	[4] ZHW_20260422_Q1.raw.PG.Quantity	[5] ZHW_20260422_Q2.raw.PG.Quantity	[6] ZHW_20260422_Q3.raw.PG.Quantity	[7] ZHW_20260422_S1.raw.PG.Quantity	[8] ZHW_20260422_S2.raw.PG.Quantity	[9] ZHW_20260422_S3.raw.PG.Quantity	[10] ZHW_20260422_P1.raw.PG.Quantity	[11] ZHW_20260422_P2.raw.PG.Quantity	[12] ZHW_20260422_P3.raw.PG.Quantity	[13] ZHW_20260422_W1.raw.PG.Quantity	[14] ZHW_20260422_W2.raw.PG.Quantity	[15] ZHW_20260422_W3.raw.PG.Quantity	[16] ZHW_20260422_N1.raw.PG.Quantity	[17] ZHW_20260422_N2.raw.PG.Quantity	[18] ZHW_20260422_N3.raw.PG.Quantity
A0MZ66	SHTN1	Shootin-1	SHOT1_HUMAN	10365.9990234375	6448.98681640625	8675.9697265625	3303.471435546875	10903.6650390625	2708.924560546875	19319.619140625	12622.1064453125	42379.6015625	3424.156005859375	17353.01171875	3057.812255859375	2716.173828125	10390.306640625	4830.59521484375	1583.994873046875	7800.2568359375	1011.0669555664062
A0PJW6	TMEM223	Transmembrane protein 223	TM223_HUMAN	1034.865966796875	580.72314453125	1099.60498046875	51.760711669921875	340.4485778808594	387.09991455078125	990.3304443359375	2001.9124755859375	2080.78955078125	259.53717041015625	678.1187133789062	283.9676818847656	191.49684143066406	527.0115356445312	400.383544921875	NaN	72.27131652832031	NaN
A0PJZ3	GXYLT2	Glucoside xylosyltransferase 2	GXLT2_HUMAN	312.0072021484375	163.00030517578125	242.15850830078125	NaN	NaN	144.74493408203125	314.47503662109375	203.3453369140625	139.01576232910156	NaN	66.49251556396484	NaN	48.37539291381836	108.02106475830078	NaN	NaN	NaN	NaN
A1A4S6	ARHGAP10	Rho GTPase-activating protein 10	RHG10_HUMAN	444.2880554199219	419.80078125	377.4893798828125	70.25875091552734	229.32424926757812	94.8821029663086	648.7782592773438	730.3346557617188	1818.7978515625	404.9410400390625	826.70166015625	444.1607360839844	528.2810668945312	1110.1539306640625	395.9083251953125	NaN	64.00181579589844	NaN
A1L020;Q5U5Q3;Q6ZN04;Q86XN8	MEX3A;MEX3C;MEX3B;MEX3D	RNA-binding protein MEX3A;RNA-binding E3 ubiquitin-protein ligase MEX3C;RNA-binding protein MEX3B;RNA-binding protein MEX3D	MEX3A_HUMAN;MEX3C_HUMAN;MEX3B_HUMAN;MEX3D_HUMAN	42.758216857910156	NaN	102.824951171875	NaN	NaN	NaN	NaN	NaN	134.63499450683594	47.31159210205078	41.58707046508789	59.37818908691406	30.737855911254883	19.507205963134766	67.99966430664062	NaN	39.85380554199219	NaN
A1L0T0	ILVBL	2-hydroxyacyl-CoA lyase 2	HACL2_HUMAN	3382.762451171875	2214.61767578125	2956.208984375	443.40911865234375	1636.6895751953125	919.7692260742188	4864.31103515625	3473.65966796875	8183.65966796875	489.7322998046875	1506.8701171875	562.9090576171875	523.10400390625	1603.1871337890625	792.258056640625	221.35035705566406	275.1978454589844	91.17554473876953
A1L168	C20orf202	Uncharacterized protein C20orf202	CT202_HUMAN	446.5621337890625	62.06889343261719	251.24295043945312	NaN	140.44784545898438	NaN	189.48162841796875	1806.8671875	757.4119873046875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A1L170	C1orf226	Uncharacterized protein C1orf226	CA226_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	2613.0322265625	1832.1676025390625	3479.059326171875	757.4425659179688	2010.966796875	878.9388427734375	269.2564697265625	1919.4730224609375	773.0387573242188	NaN	21.471399307250977	NaN
A1L390	PLEKHG3	Pleckstrin homology domain-containing family G member 3	PKHG3_HUMAN	4368.39697265625	2215.29248046875	2804.15576171875	564.9198608398438	1896.26708984375	1270.7974853515625	3302.76904296875	3899.483154296875	6770.33544921875	534.0125732421875	1911.580810546875	687.3009643554688	681.5079956054688	2162.115966796875	1259.5755615234375	204.03025817871094	703.834716796875	60.07080078125
A1L3X0	ELOVL7	Very long chain fatty acid elongase 7	ELOV7_HUMAN	199.83973693847656	NaN	222.52957153320312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.00215530395508	NaN	NaN	94.13359069824219	NaN	NaN	52.045719146728516
A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	SPD2B_HUMAN	1308.8486328125	581.4864501953125	623.3145141601562	132.38919067382812	738.4115600585938	224.6228485107422	1208.001953125	2174.02978515625	2858.2255859375	475.169677734375	1370.6749267578125	546.6134643554688	563.561279296875	1414.130615234375	530.613525390625	NaN	121.60369110107422	NaN
A2RRP1	NBAS	NBAS subunit of NRZ tethering complex	NBAS_HUMAN	2730.572265625	1575.2457275390625	2149.692138671875	488.6116638183594	1216.710205078125	743.233154296875	2298.36962890625	3010.56201171875	4347.306640625	579.343017578125	1851.3052978515625	509.6934814453125	569.9717407226562	1915.1434326171875	1050.1348876953125	64.45921325683594	472.5450134277344	78.10587310791016
A2RTX5	TARS3	Threonine--tRNA ligase 2, cytoplasmic	SYTC2_HUMAN	504.1701965332031	283.82427978515625	682.9017944335938	85.03722381591797	376.138671875	426.4406433105469	466.1241455078125	681.846923828125	1324.8773193359375	63.21613311767578	NaN	NaN	NaN	109.65078735351562	38.451873779296875	58.041263580322266	25.750873565673828	NaN
A2RU67	FAM234B	Protein FAM234B	F234B_HUMAN	93.6060791015625	247.81788635253906	158.16375732421875	39.832786560058594	242.12326049804688	398.3372802734375	242.09857177734375	538.7022094726562	437.4494323730469	54.71898651123047	118.41019439697266	59.41401672363281	71.40818786621094	118.55390167236328	96.45854949951172	NaN	NaN	NaN
A2RUB6	CCDC66	Coiled-coil domain-containing protein 66	CCD66_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52.238975524902344	21.1093807220459	20.395402908325195	NaN	NaN	NaN
A2RUC4	TYW5	tRNA wybutosine-synthesizing protein 5	TYW5_HUMAN	267.30059814453125	163.1656951904297	237.9382781982422	NaN	NaN	88.65899658203125	329.5162353515625	388.7713623046875	474.6739501953125	NaN	176.01625061035156	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2RUS2	DENND3	DENN domain-containing protein 3	DEND3_HUMAN	1004.8697509765625	587.239013671875	876.719970703125	259.6537170410156	503.2915954589844	321.3827819824219	422.8616027832031	1101.4091796875	1064.6395263671875	NaN	571.5519409179688	NaN	96.89435577392578	NaN	105.76786041259766	56.822383880615234	148.3245849609375	NaN
A2VDF0	FUOM	Fucose mutarotase	FUCM_HUMAN	135.6341094970703	12.400351524353027	143.18093872070312	NaN	33.48915100097656	32.226619720458984	91.96101379394531	204.00067138671875	266.282470703125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A2VDJ0	TMEM131L	Transmembrane protein 131-like	T131L_HUMAN	1170.2916259765625	565.3352661132812	750.424560546875	422.8438720703125	880.5631713867188	292.30596923828125	1119.9459228515625	1211.102294921875	1646.4354248046875	286.1588134765625	1261.60693359375	203.29881286621094	497.0715026855469	1134.196044921875	579.006591796875	NaN	144.75962829589844	NaN
A3KMH1	VWA8	von Willebrand factor A domain-containing protein 8	VWA8_HUMAN	2420.616943359375	1220.0965576171875	2127.0859375	264.7291259765625	783.986572265625	421.4769287109375	2072.352783203125	3301.375244140625	3797.8486328125	298.51312255859375	839.2259521484375	297.8034973144531	417.8241882324219	826.1771850585938	468.5576171875	121.04246520996094	244.25965881347656	85.33512115478516
A3KN83	SBNO1	Protein strawberry notch homolog 1	SBNO1_HUMAN	2307.26416015625	1175.179443359375	1683.289306640625	339.4140319824219	1172.2144775390625	625.7909545898438	2156.0634765625	2407.730224609375	4050.714111328125	286.8995361328125	805.6788940429688	241.95870971679688	295.66552734375	796.2003173828125	435.2132568359375	168.31024169921875	701.910400390625	88.45266723632812
A4D0S4	LAMB4	Laminin subunit beta-4	LAMB4_HUMAN	NaN	263.34661865234375	654.6837768554688	NaN	NaN	NaN	884.178955078125	NaN	1959.0260009765625	NaN	NaN	NaN	NaN	596.6530151367188	306.8581848144531	NaN	NaN	NaN
A4D1E9	GTPBP10	GTP-binding protein 10	GTPBA_HUMAN	6097.34912109375	3203.5859375	4970.1240234375	357.4221496582031	1291.6087646484375	545.2462768554688	4633.8935546875	8460.8115234375	12479.0439453125	1013.6065063476562	3561.91650390625	951.6748657226562	1262.3768310546875	3527.205810546875	1416.2001953125	157.77220153808594	629.7998046875	104.42430877685547
A4D1P6	WDR91	WD repeat-containing protein 91	WDR91_HUMAN	937.9788818359375	920.4880981445312	1382.03076171875	332.5073547363281	1327.4742431640625	1478.974609375	943.884765625	1452.565673828125	2007.065185546875	183.88723754882812	293.5650939941406	209.4364471435547	188.62977600097656	331.3022155761719	145.85552978515625	38.53115463256836	46.74039077758789	54.65492630004883
A4D1S5	RAB19	Ras-related protein Rab-19	RAB19_HUMAN	5280.98828125	4789.73779296875	4902.4951171875	394.58026123046875	NaN	3443.57421875	3597.67822265625	16310.673828125	4486.31298828125	NaN	369.5353088378906	362.60107421875	314.7980651855469	926.9661254882812	NaN	NaN	NaN	NaN
A5PLL7	PEDS1	Plasmanylethanolamine desaturase 1	PDES1_HUMAN	1531.6324462890625	606.543701171875	1198.1104736328125	NaN	208.58645629882812	162.63169860839844	1344.4071044921875	3228.177490234375	1996.7093505859375	137.75059509277344	610.6585693359375	125.75464630126953	203.8270721435547	490.1697998046875	185.58065795898438	NaN	27.37995147705078	NaN
A5PLN9	TRAPPC13	Trafficking protein particle complex subunit 13	TPC13_HUMAN	471.0126647949219	186.05911254882812	264.3571472167969	NaN	76.9263916015625	NaN	500.6165466308594	NaN	449.4798278808594	NaN	100.44602966308594	NaN	87.48191833496094	84.70806884765625	NaN	NaN	NaN	NaN
A5YKK6	CNOT1	CCR4-NOT transcription complex subunit 1	CNOT1_HUMAN	6638.16259765625	4087.002197265625	7547.5166015625	823.5575561523438	3948.52001953125	5372.36279296875	5772.822265625	9765.671875	12131.6611328125	560.0309448242188	2254.1474609375	627.6403198242188	774.5438232421875	1827.8829345703125	1055.3375244140625	236.9089813232422	504.72119140625	105.30052185058594
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Microtubule-associated protein 1 light chain 3 beta 2;Microtubule-associated protein 1 light chain 3 beta	MP3B2_HUMAN;MLP3B_HUMAN	3187.288330078125	2089.7138671875	3809.928466796875	355.0167236328125	1927.2254638671875	1992.4122314453125	2051.758544921875	5277.16357421875	2712.310302734375	260.40057373046875	627.67138671875	397.65869140625	239.62371826171875	282.5648498535156	195.31480407714844	107.3223648071289	158.8839111328125	48.80255889892578
A6ND36	FAM83G	Protein FAM83G	FA83G_HUMAN	434.8591003417969	292.4256896972656	305.85333251953125	116.83326721191406	219.84620666503906	223.3711395263672	540.8238525390625	506.87945556640625	1166.22607421875	160.53073120117188	513.1583251953125	174.0354766845703	127.04413604736328	538.4396362304688	202.1866912841797	22.94122314453125	192.49880981445312	NaN
A6NDE4;A6NEQ0;P0C7P1;P0DJD3;P0DJD4;Q15415	RBMY1B;RBMY1E;RBMY1D;RBMY1A1;RBMY1C;RBMY1F	RNA-binding motif protein, Y chromosome, family 1 member B;RNA-binding motif protein, Y chromosome, family 1 member E;RNA-binding motif protein, Y chromosome, family 1 member D;RNA-binding motif protein, Y chromosome, family 1 member A1;RNA-binding motif protein, Y chromosome, family 1 member C;RNA-binding motif protein, Y chromosome, family 1 member F/J	RBY1B_HUMAN;RBY1E_HUMAN;RBY1D_HUMAN;RBY1A_HUMAN;RBY1C_HUMAN;RBY1F_HUMAN	3345.974609375	1957.59228515625	3232.13671875	445.1759948730469	906.5186157226562	391.1082763671875	3920.841064453125	2574.609619140625	8322.6552734375	548.4307861328125	1824.966552734375	764.5453491210938	618.9340209960938	2343.843994140625	920.7156372070312	20.119304656982422	182.39955139160156	NaN
A6NDG6	PGP	Glycerol-3-phosphate phosphatase	PGP_HUMAN	7638.0146484375	4126.51318359375	6657.43017578125	667.5526733398438	3139.96435546875	1587.9134521484375	7206.95654296875	22137.59765625	9071.9208984375	442.98614501953125	1477.141845703125	655.4308471679688	944.3554077148438	1028.6700439453125	606.0006713867188	127.19393157958984	114.5447998046875	64.3323745727539
A6NDU8	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	RIMC1_HUMAN	3543.357666015625	1806.290283203125	3043.34521484375	433.80816650390625	1277.1893310546875	763.9628295898438	4220.85205078125	8903.37109375	7049.59716796875	447.725341796875	1336.416015625	598.16259765625	821.3585205078125	1106.6085205078125	690.8028564453125	135.9033203125	189.63290405273438	NaN
A6NED2	RCCD1	RCC1 domain-containing protein 1	RCCD1_HUMAN	1150.9686279296875	472.3604431152344	988.0499877929688	86.29891204833984	534.67822265625	366.54168701171875	1256.8162841796875	2214.1484375	2366.922607421875	NaN	1144.9263916015625	255.31028747558594	124.76256561279297	555.3132934570312	NaN	60.105072021484375	NaN	NaN
A6NEL3;P0C5J1;Q8N7N1;Q96G04	FAM86C2P;FAM86B2;FAM86B1;EEF2KMT	Putative protein FAM86C2P;Putative protein N-methyltransferase FAM86B2;Putative protein N-methyltransferase FAM86B1;Protein-lysine N-methyltransferase EEF2KMT	F86C2_HUMAN;F86B2_HUMAN;F86B1_HUMAN;EF2KT_HUMAN	NaN	529.5366821289062	1262.80322265625	110.11920928955078	NaN	253.35662841796875	910.5599975585938	1774.9454345703125	1509.560791015625	NaN	246.90602111816406	194.7867431640625	NaN	289.55865478515625	382.4068603515625	NaN	163.77374267578125	NaN
A6NFQ2	TCAF2	TRPM8 channel-associated factor 2	TCAF2_HUMAN	666.0442504882812	403.27667236328125	586.6341552734375	70.13240051269531	203.24652099609375	290.5115966796875	615.3681640625	874.1403198242188	1213.6441650390625	98.89871978759766	249.3140106201172	NaN	110.18739318847656	243.27609252929688	163.58761596679688	NaN	77.56439971923828	NaN
A6NGR9	MROH6	Maestro heat-like repeat-containing protein family member 6	MROH6_HUMAN	398.0590515136719	145.84527587890625	326.7377014160156	NaN	89.40155029296875	NaN	289.56201171875	296.3206481933594	639.688232421875	82.19930267333984	205.3108673095703	105.06845092773438	167.85549926757812	134.3077392578125	86.20138549804688	NaN	7.453790664672852	NaN
A6NHL2	TUBAL3	Tubulin alpha chain-like 3	TBAL3_HUMAN	2184.091796875	787.3700561523438	2125.574951171875	25.366146087646484	714.0555419921875	58.0838737487793	5665.10986328125	1604.9112548828125	6541.61376953125	213.45033264160156	3647.69189453125	221.34373474121094	287.5984191894531	1985.2613525390625	672.0199584960938	NaN	59.37770462036133	NaN
A6NHQ2	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	FBLL1_HUMAN	52778.0703125	16176.6630859375	16467.38671875	1184.45166015625	20481.546875	1911.4810791015625	27562.53125	48844.69140625	32487.615234375	1135.1619873046875	4353.9951171875	2543.450927734375	17140.810546875	5385.71923828125	1666.04248046875	NaN	3099.34423828125	342.9900817871094
A6NHR9	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMHD1_HUMAN	2225.897705078125	1022.8208618164062	2113.306884765625	184.20657348632812	1465.53759765625	1502.55810546875	1567.109130859375	2807.948486328125	2966.181396484375	148.78663635253906	491.3431091308594	153.16432189941406	183.2307891845703	495.7712097167969	274.3919677734375	78.74546813964844	369.2507019042969	41.05577087402344
A6NHX0	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	CAST2_HUMAN	2567.207275390625	1729.954345703125	2683.264892578125	153.52976989746094	933.644287109375	807.0047607421875	2584.208984375	3314.864013671875	4378.03955078125	134.73370361328125	284.0907287597656	113.12027740478516	104.22946166992188	494.14459228515625	152.4894256591797	NaN	NaN	NaN
A6NI28	ARHGAP42	Rho GTPase-activating protein 42	RHG42_HUMAN	1490.4239501953125	847.9295654296875	1063.0985107421875	180.15521240234375	581.4259643554688	215.36949157714844	1786.382568359375	2184.767822265625	3755.8701171875	680.318359375	1770.7486572265625	636.2236938476562	568.3264770507812	1544.3135986328125	810.5841064453125	129.68557739257812	184.14688110351562	NaN
A6NIH7	UNC119B	Protein unc-119 homolog B	U119B_HUMAN	990.3392944335938	606.2991943359375	853.96826171875	64.64772033691406	516.0543212890625	548.3272094726562	865.2974243164062	2172.103271484375	733.6304321289062	96.31871032714844	589.3701171875	194.0220489501953	96.88302612304688	262.8547668457031	98.75186157226562	83.46125793457031	10.666360855102539	NaN
A6NIK2	LRRC10B	Leucine-rich repeat-containing protein 10B	LR10B_HUMAN	1782.630126953125	1282.2879638671875	2723.2626953125	NaN	1881.758056640625	1332.150390625	983.3497924804688	1672.3319091796875	4348.2431640625	NaN	139.92172241210938	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A6NJ78	METTL15	12S rRNA N(4)-cytidine methyltransferase METTL15	MET15_HUMAN	765.0170288085938	285.12701416015625	690.141845703125	NaN	362.3837585449219	NaN	649.6847534179688	1824.874267578125	1416.4700927734375	181.15943908691406	678.645263671875	119.03085327148438	245.10557556152344	516.709228515625	316.7055358886719	NaN	73.86058807373047	NaN
A6NJT0	UNCX	Homeobox protein unc-4 homolog	UNC4_HUMAN	236.52772521972656	111.46372985839844	NaN	18.6602783203125	NaN	NaN	159.115966796875	NaN	NaN	NaN	82.8125	NaN	54.165775299072266	69.73942565917969	NaN	NaN	NaN	NaN
A6NKD9	CCDC85C	Coiled-coil domain-containing protein 85C	CC85C_HUMAN	NaN	436.4872131347656	NaN	42.00922393798828	NaN	NaN	262.8431396484375	613.298583984375	280.11065673828125	227.81222534179688	448.537841796875	363.58270263671875	235.2343292236328	345.6781005859375	105.51830291748047	NaN	NaN	NaN
A6NKF1	SAC3D1	SAC3 domain-containing protein 1	SAC31_HUMAN	2117.555908203125	675.6278076171875	1036.6494140625	183.03065490722656	202.17828369140625	NaN	1122.68310546875	4968.3056640625	2738.478759765625	238.32752990722656	1152.517333984375	299.1859130859375	271.8407287597656	846.585693359375	539.5863037109375	NaN	155.83929443359375	35.14788818359375
A6NKG5	RTL1	Retrotransposon-like protein 1	RTL1_HUMAN	NaN	7141.4697265625	8674.8505859375	381.2127990722656	9413.5654296875	15576.939453125	15761.8720703125	10959.451171875	33820.23046875	844.775146484375	3252.96728515625	2064.65771484375	1867.0579833984375	1333.8992919921875	NaN	290.8921203613281	NaN	NaN
A6QL64	ANKRD36	Ankyrin repeat domain-containing protein 36A	AN36A_HUMAN	546.5916137695312	138.1092987060547	317.88165283203125	221.65126037597656	429.2350769042969	NaN	1506.8465576171875	715.5493774414062	1517.613525390625	141.97824096679688	187.56451416015625	172.30435180664062	374.7909851074219	390.19635009765625	102.23956298828125	NaN	164.2617950439453	NaN
A6ZKI3	RTL8C	Retrotransposon Gag-like protein 8C	RTL8C_HUMAN	627.4058227539062	219.3787384033203	184.1575164794922	34.8380012512207	122.12220001220703	75.8199691772461	344.4881896972656	1528.2373046875	916.4603271484375	138.80271911621094	731.51904296875	279.2196350097656	99.5458755493164	259.7603759765625	212.15040588378906	NaN	NaN	NaN
A7E2V4	ZSWIM8	Zinc finger SWIM domain-containing protein 8	ZSWM8_HUMAN	3488.04638671875	1702.0518798828125	2117.83251953125	347.46246337890625	741.104736328125	718.5833740234375	3300.070556640625	3320.41064453125	7078.22412109375	386.27972412109375	1813.134521484375	372.2947998046875	504.6656188964844	1341.0531005859375	503.0003662109375	73.86450958251953	343.45550537109375	241.2488250732422
A7KAX9	ARHGAP32	Rho GTPase-activating protein 32	RHG32_HUMAN	280.2046203613281	106.8802261352539	NaN	NaN	NaN	NaN	363.4721984863281	685.88525390625	1046.281005859375	212.12879943847656	675.7432250976562	261.6195068359375	348.0623474121094	516.88916015625	244.01327514648438	NaN	NaN	NaN
A8CG34	POM121C	Nuclear envelope pore membrane protein POM 121C	P121C_HUMAN	658.137451171875	473.1109924316406	603.1390991210938	63.90800476074219	303.6332702636719	316.8842468261719	1476.6907958984375	3507.78271484375	4811.80810546875	1093.53173828125	2978.139892578125	1398.661376953125	1176.4278564453125	2624.33642578125	1049.26416015625	10.618220329284668	181.2174835205078	NaN
A8K2U0	A2ML1	Alpha-2-macroglobulin-like protein 1	A2ML1_HUMAN	674.4545288085938	676.0189208984375	435.58502197265625	305.5212707519531	766.9705200195312	621.5721435546875	811.6998291015625	749.8218383789062	662.501220703125	505.29833984375	561.0565795898438	273.00555419921875	631.4412231445312	683.5869140625	411.8841857910156	242.6802215576172	331.8647766113281	703.0388793945312
A8MPP1	DDX11L8	Putative ATP-dependent DNA helicase DDX11-like protein 8	D11L8_HUMAN	753.5619506835938	470.45697021484375	590.8716430664062	145.4991912841797	442.1379699707031	65.8823471069336	663.1848754882812	1259.305908203125	1792.4150390625	112.93447875976562	532.6231689453125	116.20892333984375	208.64268493652344	318.9386901855469	142.83644104003906	172.33460998535156	101.10814666748047	NaN
A8MWD9;P62308	SNRPGP15;SNRPG	Putative small nuclear ribonucleoprotein G-like protein 15;Small nuclear ribonucleoprotein G	RUXGL_HUMAN;RUXG_HUMAN	2195.615234375	1808.720703125	2360.9267578125	119.63729858398438	2088.04052734375	1251.382568359375	3877.670654296875	4139.8134765625	4494.5888671875	245.67239379882812	378.0025329589844	166.2099151611328	50.59120178222656	177.1352081298828	75.75462341308594	67.98655700683594	95.92806243896484	48.162105560302734
A8MXV4	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	NUD19_HUMAN	725.4987182617188	491.2567443847656	814.799560546875	37.045494079589844	318.3245544433594	176.70681762695312	656.8607788085938	944.5455932617188	1775.95849609375	45.489219665527344	324.0173034667969	56.720054626464844	46.24275588989258	128.58743286132812	94.4658203125	34.332923889160156	18.4622802734375	NaN
A9UHW6	MIF4GD	MIF4G domain-containing protein	MI4GD_HUMAN	153.81703186035156	NaN	132.86412048339844	NaN	NaN	NaN	NaN	403.37884521484375	132.8279571533203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
B0I1T2	MYO1G	Unconventional myosin-Ig	MYO1G_HUMAN	273.07000732421875	182.66015625	309.3588562011719	NaN	177.16407775878906	NaN	256.71258544921875	390.8284606933594	593.8365478515625	83.4504165649414	167.27427673339844	59.11549377441406	162.9457244873047	135.49964904785156	NaN	NaN	NaN	NaN
B0YJ81	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1	HACD1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	502.7397155761719	NaN	3148.44140625	37.302581787109375	236.9628143310547	75.42510986328125	151.9170379638672	275.0770568847656	84.4408950805664	NaN	NaN	NaN
